0,999.8603
10,999.8244
20,999.7792
30,999.7226
40,999.6516
50,999.5628
60,999.452
70,999.3139
80,999.1421
90,998.9292
100,998.6658
110,998.3408
120,997.941
130,997.4508
140,996.8516
150,996.1218
160,995.2363
170,994.1661
180,992.8783
190,991.3354
200,989.4958
210,987.3134
220,984.7377
230,981.7141
240,978.1837
250,974.0839
260,969.3475
270,963.9027
280,957.672
290,950.5703
300,942.5027
310,933.3607
320,923.0179
330,911.3228
340,898.0906
350,883.0913
360,866.0385
370,846.5926
380,824.3535
390,798.9906
400,770.5265
410,739.5428
420,706.8779
430,673.1974
440,638.9096
450,604.2513
460,569.3645
470,534.3406
480,499.2422
490,464.117
500,429.005
510,393.9461
520,358.9871
530,324.1917
540,289.6568
550,255.5395
560,222.1107
570,189.8642
580,159.7142
590,133.1295
600,111.4731
610,94.7074
620,81.6726
630,71.226
640,62.593
650,55.2828
660,48.9774
670,43.4627
680,38.5886
690,34.2467
700,30.3566
710,26.8577
720,23.7029
730,20.8556
740,18.2862
750,15.9707
760,13.889
770,12.0236
780,10.359
790,8.8807
800,7.5751
810,6.4289
820,5.4291
830,4.5627
840,3.8169
850,3.1791
860,2.6372
870,2.1796
880,1.7953
890,1.4743
900,1.2074
910,0
920,0
930,0
940,0
950,0
960,0
970,0
980,0
990,0
1000,0
